id,action_seq,current_state,goal_state,out_action
0,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2050.682539131791, 185.84859728246647, 2.3255945963889926, 0.10893264422927836, 0.19271791228533666, -0.019710750376538987, -0.03491, 0.19026745122925046, 14917.619047619048]",18
0,"[-1, -1, -1, -1, 18]","[590.4721796253802, -32.23335163445746, 2.5031861656364764, 0.28574076322874414, 0.20170439582297653, -0.02645375477599658, -0.06981, 0.1585562093577087, 3810.0]","[2050.682539131791, 185.84859728246647, 2.3255945963889926, 0.10893264422927836, 0.19271791228533666, -0.019710750376538987, -0.03491, 0.19026745122925046, 14917.619047619048]",23
0,"[-1, -1, -1, 18, 23]","[1445.206890305508, 93.73949502047581, 2.4438387860716375, 0.24121035165715626, 0.15977958825963165, -0.03396280228957699, -0.03491, 0.19026745122925046, 10350.0]","[2050.682539131791, 185.84859728246647, 2.3255945963889926, 0.10893264422927836, 0.19271791228533666, -0.019710750376538987, -0.03491, 0.19026745122925046, 14917.619047619048]",23
0,"[-1, -1, 18, 23, 23]","[2050.682539131791, 185.84859728246647, 2.3255945963889926, 0.10893264422927836, 0.19271791228533666, -0.019710750376538987, -0.03491, 0.19026745122925046, 14917.619047619048]","[2050.682539131791, 185.84859728246647, 2.3255945963889926, 0.10893264422927836, 0.19271791228533666, -0.019710750376538987, -0.03491, 0.19026745122925046, 14917.619047619048]",23
1,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1911.2593494342682, 113.5123295244495, 2.5557333959263935, -0.06717976610754609, -0.2385770071651138, 0.03724009751912609, -0.01745, 0.1585562093577087, 11267.222222222223]",16
1,"[-1, -1, -1, -1, 16]","[857.6037520848663, 6.86637258054445, 1.9139369251948164, 0.2267925089939048, 0.42169141558064904, -0.04120994272701335, -0.03491, 0.1585562093577087, 3810.0]","[1911.2593494342682, 113.5123295244495, 2.5557333959263935, -0.06717976610754609, -0.2385770071651138, 0.03724009751912609, -0.01745, 0.1585562093577087, 11267.222222222223]",23
1,"[-1, -1, -1, 16, 23]","[1720.206800727291, 91.80949482897377, 2.6756997882022455, 0.24173097063528817, 0.4439440014775702, -0.03318908193673187, -0.03491, 0.19026745122925046, 10350.0]","[1911.2593494342682, 113.5123295244495, 2.5557333959263935, -0.06717976610754609, -0.2385770071651138, 0.03724009751912609, -0.01745, 0.1585562093577087, 11267.222222222223]",15
1,"[-1, -1, 16, 23, 15]","[1911.2593494342682, 113.5123295244495, 2.5557333959263935, -0.06717976610754609, -0.2385770071651138, 0.03724009751912609, -0.01745, 0.1585562093577087, 11267.222222222223]","[1911.2593494342682, 113.5123295244495, 2.5557333959263935, -0.06717976610754609, -0.2385770071651138, 0.03724009751912609, -0.01745, 0.1585562093577087, 11267.222222222223]",15
2,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1684.2507643691135, -367.17558041766375, 2.437344439402212, 0.08689930542987076, -0.14291960255890418, 8.08468586048791e-05, -0.01745, 0.0, 113.80952380952381]",1
2,"[-1, -1, -1, -1, 1]","[871.6584082737479, -218.96540110494502, 2.5382788578932645, 0.08544384351349288, -0.18326253989865432, 0.0009103407834252284, -0.01745, 0, 60.0]","[1684.2507643691135, -367.17558041766375, 2.437344439402212, 0.08689930542987076, -0.14291960255890418, 8.08468586048791e-05, -0.01745, 0.0, 113.80952380952381]",1
2,"[-1, -1, -1, 1, 1]","[1684.2507643691135, -367.17558041766375, 2.437344439402212, 0.08689930542987076, -0.14291960255890418, 8.08468586048791e-05, -0.01745, 0, 113.80952380952381]","[1684.2507643691135, -367.17558041766375, 2.437344439402212, 0.08689930542987076, -0.14291960255890418, 8.08468586048791e-05, -0.01745, 0.0, 113.80952380952381]",1
3,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1979.034187060833, -300.73642454105226, 1.1468334271980556, 0.16950620957126245, 0.17346520679307237, -0.004373362735846954, -0.06981, 0.0, 168.25396825396825]",2
3,"[-1, -1, -1, -1, 2]","[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596, -0.03491, 0, 60.0]","[1979.034187060833, -300.73642454105226, 1.1468334271980556, 0.16950620957126245, 0.17346520679307237, -0.004373362735846954, -0.06981, 0.0, 168.25396825396825]",1
3,"[-1, -1, -1, 2, 1]","[1549.0388245080717, -283.16647265536807, 2.4775518826550194, 0.08621461292889147, -0.16868208134837306, 0.00042479177589451914, -0.01745, 0, 120.0]","[1979.034187060833, -300.73642454105226, 1.1468334271980556, 0.16950620957126245, 0.17346520679307237, -0.004373362735846954, -0.06981, 0.0, 168.25396825396825]",4
3,"[-1, -1, 2, 1, 4]","[1979.034187060833, -300.73642454105226, 1.1468334271980556, 0.16950620957126245, 0.17346520679307237, -0.004373362735846954, -0.06981, 0, 168.25396825396825]","[1979.034187060833, -300.73642454105226, 1.1468334271980556, 0.16950620957126245, 0.17346520679307237, -0.004373362735846954, -0.06981, 0.0, 168.25396825396825]",4
4,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1870.2140390025413, 39.53110901755116, 1.706636720841828, 0.24909570941237383, 0.2029475125805698, -0.042271861421495485, -0.05236, 0.1585562093577087, 7695.0]",10
4,"[-1, -1, -1, -1, 10]","[658.6005474809942, -28.942159302772783, 1.7962971987183782, 0.23170671604946735, -0.17426008521119346, -0.039197141901621, -0.05236, 0.12684496748616697, 1980.0]","[1870.2140390025413, 39.53110901755116, 1.706636720841828, 0.24909570941237383, 0.2029475125805698, -0.042271861421495485, -0.05236, 0.1585562093577087, 7695.0]",16
4,"[-1, -1, -1, 10, 16]","[1526.1554125907307, 17.73528136231, 1.8237981403551162, 0.23095723785179703, 0.20066336010716632, -0.042463099527020536, -0.03491, 0.1585562093577087, 5790.0]","[1870.2140390025413, 39.53110901755116, 1.706636720841828, 0.24909570941237383, 0.2029475125805698, -0.042271861421495485, -0.05236, 0.1585562093577087, 7695.0]",17
4,"[-1, -1, 10, 16, 17]","[1870.2140390025413, 39.53110901755116, 1.706636720841828, 0.24909570941237383, 0.2029475125805698, -0.042271861421495485, -0.05236, 0.1585562093577087, 7695.0]","[1870.2140390025413, 39.53110901755116, 1.706636720841828, 0.24909570941237383, 0.2029475125805698, -0.042271861421495485, -0.05236, 0.1585562093577087, 7695.0]",17
5,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0.0, 3953.4920634920636]",4
5,"[-1, -1, -1, -1, 4]","[495.9651783486855, -49.624823236903964, 1.3078058336710534, 0.16424410515379131, 0.06882998138032456, 5.6277848749595606e-05, -0.06981, 0, 60.0]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0.0, 3953.4920634920636]",3
5,"[-1, -1, -1, 4, 3]","[1055.5050879883975, -106.27682871372707, 1.507269662995583, 0.14377336091308687, -0.015001860413637805, 0.00027843491387756107, -0.05236, 0, 120.0]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0.0, 3953.4920634920636]",16
5,"[-1, -1, 4, 3, 16]","[1917.6784140560794, -70.1678844688607, 1.9634090391323344, 0.23019662002076918, 0.29443340874725893, -0.04191289882224282, -0.03491, 0.1585562093577087, 3930.0]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0.0, 3953.4920634920636]",4
5,"[-1, 4, 3, 16, 4]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0, 3953.4920634920636]","[2119.482952957551, -75.44478325231441, 1.2400934102426893, 0.16278331530240125, 0.27715352800784954, -0.000742141841799908, -0.06981, 0.0, 3953.4920634920636]",4
6,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]",18
6,"[-1, -1, -1, -1, 18]","[590.4721796253802, -32.23335163445746, 2.5031861656364764, 0.28574076322874414, 0.20170439582297653, -0.02645375477599658, -0.06981, 0.1585562093577087, 3810.0]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]",23
6,"[-1, -1, -1, 18, 23]","[1445.206890305508, 93.73949502047581, 2.4438387860716375, 0.24121035165715626, 0.15977958825963165, -0.03396280228957699, -0.03491, 0.19026745122925046, 10350.0]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]",24
6,"[-1, -1, 18, 23, 24]","[2157.387029830264, 158.10313861569665, 2.5134142311877086, 0.25648951445618456, 0.6747223036994957, -0.023835619457717127, -0.05236, 0.19026745122925046, 16890.0]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]",8
6,"[-1, 18, 23, 24, 8]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]","[2259.5318512662193, 185.0414314288891, 1.6598685505114352, 0.05622651888778639, -0.3869487799059042, 0.007640877677499394, -0.01745, 0.12684496748616697, 17288.095238095237]",8
7,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1965.1636069187784, -473.3188952943035, 3.39741499227645, 0.03798465007486023, -0.616663517227349, -0.003954593014936572, -0.0, 0.0, 132.06349206349205]",1
7,"[-1, -1, -1, -1, 1]","[871.1345403425793, -219.58366265305932, 2.5429472973131975, 0.08537532603783342, -0.18486158111077802, 0.0009449914261199253, -0.01745, 0, 60.0]","[1965.1636069187784, -473.3188952943035, 3.39741499227645, 0.03798465007486023, -0.616663517227349, -0.003954593014936572, -0.0, 0.0, 132.06349206349205]",1
7,"[-1, -1, -1, 1, 1]","[1777.303395238776, -384.5379853276468, 2.4234693437154182, 0.08707772822524307, -0.14162385792318183, -2.9093242088604494e-05, -0.01745, 0, 120.0]","[1965.1636069187784, -473.3188952943035, 3.39741499227645, 0.03798465007486023, -0.616663517227349, -0.003954593014936572, -0.0, 0.0, 132.06349206349205]",0
7,"[-1, -1, 1, 1, 0]","[1965.1636069187784, -473.3188952943035, 3.39741499227645, 0.03798465007486023, -0.616663517227349, -0.003954593014936572, -0.0, 0, 132.06349206349205]","[1965.1636069187784, -473.3188952943035, 3.39741499227645, 0.03798465007486023, -0.616663517227349, -0.003954593014936572, -0.0, 0.0, 132.06349206349205]",0
8,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2122.8760500555118, 121.52855528503657, 1.5468413660543003, 0.1331843874243985, 0.3910551875107943, -0.021417723202175748, -0.05236, 0.1585562093577087, 12219.126984126984]",11
8,"[-1, -1, -1, -1, 11]","[583.5206628010139, -39.835453272202415, 1.9448547861504741, 0.2518164673418514, 0.13714594843017514, -0.03187867743171505, -0.06981, 0.12684496748616697, 1980.0]","[2122.8760500555118, 121.52855528503657, 1.5468413660543003, 0.1331843874243985, 0.3910551875107943, -0.021417723202175748, -0.05236, 0.1585562093577087, 12219.126984126984]",23
8,"[-1, -1, -1, 11, 23]","[1459.5029131939123, 78.97835420800001, 2.0962018729058096, 0.23285331578878618, 0.36947954167874414, -0.03331417065139348, -0.03491, 0.19026745122925046, 8520.0]","[2122.8760500555118, 121.52855528503657, 1.5468413660543003, 0.1331843874243985, 0.3910551875107943, -0.021417723202175748, -0.05236, 0.1585562093577087, 12219.126984126984]",17
8,"[-1, -1, 11, 23, 17]","[2122.8760500555118, 121.52855528503657, 1.5468413660543003, 0.1331843874243985, 0.3910551875107943, -0.021417723202175748, -0.05236, 0.1585562093577087, 12219.126984126984]","[2122.8760500555118, 121.52855528503657, 1.5468413660543003, 0.1331843874243985, 0.3910551875107943, -0.021417723202175748, -0.05236, 0.1585562093577087, 12219.126984126984]",17
9,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2039.449039921063, 88.44932898428841, 0.8389265932976007, 0.21628037321614849, 0.3750827054531288, -0.021322923442683744, -0.08727, 0.0, 10390.0]",16
9,"[-1, -1, -1, -1, 16]","[857.6037520848663, 6.86637258054445, 1.9139369251948164, 0.2267925089939048, 0.42169141558064904, -0.04120994272701335, -0.03491, 0.1585562093577087, 3810.0]","[2039.449039921063, 88.44932898428841, 0.8389265932976007, 0.21628037321614849, 0.3750827054531288, -0.021322923442683744, -0.08727, 0.0, 10390.0]",23
9,"[-1, -1, -1, 16, 23]","[1720.206800727291, 91.80949482897377, 2.6756997882022455, 0.24173097063528817, 0.4439440014775702, -0.03318908193673187, -0.03491, 0.19026745122925046, 10350.0]","[2039.449039921063, 88.44932898428841, 0.8389265932976007, 0.21628037321614849, 0.3750827054531288, -0.021322923442683744, -0.08727, 0.0, 10390.0]",5
9,"[-1, -1, 16, 23, 5]","[2039.449039921063, 88.44932898428841, 0.8389265932976007, 0.21628037321614849, 0.3750827054531288, -0.021322923442683744, -0.08727, 0, 10390.0]","[2039.449039921063, 88.44932898428841, 0.8389265932976007, 0.21628037321614849, 0.3750827054531288, -0.021322923442683744, -0.08727, 0.0, 10390.0]",5
10,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1654.0564788566332, -44.99739504344626, 1.4771939963229532, 0.14348922443965517, -0.15899069655925469, -0.00042124078311866066, -0.05236, 0.0, 3977.1428571428573]",10
10,"[-1, -1, -1, -1, 10]","[658.6005474809942, -28.942159302772783, 1.7962971987183782, 0.23170671604946735, -0.17426008521119346, -0.039197141901621, -0.05236, 0.12684496748616697, 1980.0]","[1654.0564788566332, -44.99739504344626, 1.4771939963229532, 0.14348922443965517, -0.15899069655925469, -0.00042124078311866066, -0.05236, 0.0, 3977.1428571428573]",9
10,"[-1, -1, -1, 10, 9]","[1502.3634265237959, -42.46523127941089, 1.9813890250332769, 0.21553425670420007, 0.08236613856747611, -0.04419918786015354, -0.03491, 0.12684496748616697, 3960.0]","[1654.0564788566332, -44.99739504344626, 1.4771939963229532, 0.14348922443965517, -0.15899069655925469, -0.00042124078311866066, -0.05236, 0.0, 3977.1428571428573]",3
10,"[-1, -1, 10, 9, 3]","[1654.0564788566332, -44.99739504344626, 1.4771939963229532, 0.14348922443965517, -0.15899069655925469, -0.00042124078311866066, -0.05236, 0, 3977.1428571428573]","[1654.0564788566332, -44.99739504344626, 1.4771939963229532, 0.14348922443965517, -0.15899069655925469, -0.00042124078311866066, -0.05236, 0.0, 3977.1428571428573]",3
11,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[1976.7819203674271, -247.5695627040943, 1.7937634211123976, 0.11963740154297085, -0.045731615441289696, -8.372934401199826e-07, -0.03491, 0.0, 176.66666666666669]",2
11,"[-1, -1, -1, -1, 2]","[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596, -0.03491, 0, 60.0]","[1976.7819203674271, -247.5695627040943, 1.7937634211123976, 0.11963740154297085, -0.045731615441289696, -8.372934401199826e-07, -0.03491, 0.0, 176.66666666666669]",2
11,"[-1, -1, -1, 2, 2]","[1341.1819870116638, -174.7395289260939, 1.7792229686063885, 0.11995453200902928, -0.0416263821905009, -0.00021851824618996014, -0.03491, 0, 120.0]","[1976.7819203674271, -247.5695627040943, 1.7937634211123976, 0.11963740154297085, -0.045731615441289696, -8.372934401199826e-07, -0.03491, 0.0, 176.66666666666669]",2
11,"[-1, -1, 2, 2, 2]","[1976.7819203674271, -247.5695627040943, 1.7937634211123976, 0.11963740154297085, -0.045731615441289696, -8.372934401199826e-07, -0.03491, 0, 176.66666666666669]","[1976.7819203674271, -247.5695627040943, 1.7937634211123976, 0.11963740154297085, -0.045731615441289696, -8.372934401199826e-07, -0.03491, 0.0, 176.66666666666669]",2
12,"[-1, -1, -1, -1, -1]","[0, 0, 1, 0, 0, 0, -0.05236, 0, 0]","[2226.4301882313866, -152.66845159122326, 1.0331009441720986, 0.20855841029497774, 0.1451897896240523, -0.0069492517159802595, -0.10472, 0.0, 2180.6349206349205]",5
