,path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time,end_message
85,86,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2183.3959084972344, 136.35795402382064, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.00669798,  0.23124829]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.05327827, 0.323768  ]], dtype=float32)>]","[array([ 1.50975363,  1.47434715,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-1.248515  ,  6.31929157, -6.01144299,  0.25161951, -0.2426134 ,
       -2.19841225, -0.00669798,  0.23124829])]",11693.679376795175,904.5565577995673,291.69371724128723,Error
86,87,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2239.0570041343694, -336.4028775781718, 1, 0, 0, 0, 0, 0, 0)","[array([-0.05236,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02010761,  0.00022947]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.092833  ,  0.02665572]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01378782,  0.15128537]], dtype=float32)>]","[array([ 1.59419167, -1.83942532,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 2.11161790e-01,  2.10288980e-01, -2.39622226e+00, -8.21897423e-01,
        8.58610202e-01, -2.82447369e-01, -2.01076083e-02,  2.29470432e-04]), array([-0.48124237,  0.76227509, -0.73370809, -1.46887624,  0.7608657 ,
       -0.71625663, -0.092833  ,  0.02665572])]",137.81776195569637,871.6360617302231,433.48733854293823,End
87,88,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2243.6410839843434, -526.6466137429171, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.01274379, 0.02394398]], dtype=float32)>]","[array([ 1.60114573, -3.17292086,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2304.621871264204,148.15210175514218,Error
88,89,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2033.0106400584814, -26.053353725759546, 1, 0, 0, 0, 0, 0, 0)","[array([-0.10472,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03156264,  0.12156238]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04280347,  0.07886552]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02809448, 0.10418609]], dtype=float32)>]","[array([ 1.28161878,  0.33594041,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.03852566,  0.84145215, -1.77108152, -1.32742063, -0.60123358,
        0.70786203, -0.03156264,  0.12156238]), array([-1.11760918,  1.23990768, -1.28813106, -1.80114083, -0.21989732,
        0.97518215, -0.04280347,  0.07886552])]",2271.439744862768,463.03463673347403,431.0271170139313,Error
89,90,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1980.8719968294608, -24.96415228211188, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03105898,  0.12357888]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03732524,  0.0751754 ]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02592735, 0.10862625]], dtype=float32)>]","[array([ 1.20252431,  0.34357506,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.13070306,  0.84766359, -1.81528346, -1.94825379, -0.91042294,
        1.16789301, -0.03105898,  0.12357888]), array([-1.26677801,  1.3601023 , -1.58759977, -0.60589062, -0.23291368,
       -1.20000804, -0.03732524,  0.0751754 ])]",2295.150337939169,372.97470400441756,386.2986762523651,Error
90,91,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2169.595036105533, -516.732889541524, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.01136642, 0.02334934]], dtype=float32)>]","[array([ 1.48881767, -3.10343154,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2230.281484438164,145.23873782157895,Error
91,92,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2092.321670774422, -229.71532321872988, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04027657, -0.00688425]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.06453458,  0.04548005]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02504422,  0.09916195]], dtype=float32)>]","[array([ 1.37159377, -1.09160897,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.32365725, -0.08268779, -0.49981913, -1.284245  , -0.39653346,
        0.19315021, -0.04027657, -0.00688425]), array([-0.52766492,  0.53137959, -0.78628096, -0.97442569,  0.48554604,
       -0.86351741, -0.06453458,  0.04548005])]",208.19325068640015,840.3427994064916,657.4719393253326,End
92,93,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2090.8962178492948, -3.1963755132782925, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02340039,  0.1536776 ]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05825267,  0.07189053]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02121726, 0.1392355 ]], dtype=float32)>]","[array([ 1.36943135,  0.49615424,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.17999704,  1.06903744, -3.10884391, -0.14468445, -0.14304688,
       -1.15881279, -0.02340039,  0.1536776 ]), array([-1.0976322 ,  1.3027107 , -0.25804521, -0.96123238, -0.09603187,
       -0.41644313, -0.05825267,  0.07189053])]",3883.9303109333196,477.8997209507222,436.46375441551214,Error
93,94,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1999.7557481416638, -403.59819078546326, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.0069543 ,  0.01088246]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.03882203, 0.22598659]], dtype=float32)>]","[array([ 1.23117101, -2.31042454,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-0.49911087,  3.09037136, -4.11783957, -0.46184663,  1.90223536,
       -0.39868292, -0.0069543 ,  0.01088246])]",61.21244555779951,934.2336175942156,344.990327835083,Error
94,95,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2172.367671031429, -612.0658804625956, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.02498755, 0.0322584 ]], dtype=float32)>]","[array([ 1.49302377, -3.77165915,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ])]",0.0,2256.9461535820847,82.5028235912323,Error
95,96,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2173.1157329150315, 159.08190769534582, 1, 0, 0, 0, 0, 0, 0)","[array([-0.06981   ,  0.15855621]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.00625611,  0.23489043]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.0343127 ,  0.36245736]], dtype=float32)>]","[array([ 1.49415858,  1.63362857,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([-1.30216052e+00,  7.07284348e+00, -6.35241017e+00, -2.35611785e+00,
        1.33345502e-01,  3.20808002e+00, -6.25611469e-03,  2.34890431e-01])]",12252.070900882998,991.5354285369792,206.42633748054504,Error
96,97,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2044.1596420687388, -201.10425185352682, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491   ,  0.12684497]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04524779, -0.00664686]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05710639,  0.06476946]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.0214832 ,  0.09594665]], dtype=float32)>]","[array([ 1.29853184, -0.89106236,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.30082149,  0.02459573, -0.31767866, -1.3058963 , -0.65997559,
        0.1412001 , -0.04524779, -0.00664686]), array([-0.61351977,  0.58935195, -0.87665667, -1.10929298,  0.16688586,
       -0.74277613, -0.05710639,  0.06476946])]",375.3422828288899,783.8108858720399,628.2116885185243,End
97,98,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2251.0620933589344, -212.44196128399557, 1, 0, 0, 0, 0, 0, 0)","[array([-0.03491,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.04397386, -0.00803749]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.08673188,  0.02604924]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.0278353 ,  0.14630067]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[0.00141468, 0.04442015]], dtype=float32)>]","[array([ 1.61240342, -0.97053297,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.62466058,  0.02241095, -1.10515556, -1.11866042,  1.07790497,
       -0.27426254, -0.04397386, -0.00803749]), array([-0.11196438,  0.62442259, -0.41795693, -1.78813585,  0.55979112,
        0.19882568, -0.08673188,  0.02604924]), array([-1.57756775,  0.87282423, -2.23445473,  0.26742366, -0.92336022,
       -2.05819533, -0.0278353 ,  0.14630067])]",3142.057363931013,156.6372355759551,652.9893989562987,End
98,99,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2128.3832489642123, -133.3968437519782, 1, 0, 0, 0, 0, 0, 0)","[array([-0.08727,  0.     ]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05449107,  0.00320964]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.05573451,  0.10774138]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.02369818,  0.0857164 ]], dtype=float32)>]","[array([ 1.42629928, -0.41647367,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.52236702,  0.41981303, -0.73710783, -1.24303086,  0.47487799,
       -0.24409179, -0.05449107,  0.00320964]), array([-0.46970687,  0.66889953, -1.12690829, -2.09396743, -0.22250512,
        0.88759548, -0.05573451,  0.10774138])]",1296.631758647928,878.8084125464334,649.8325836658478,End
99,100,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1952.5001994097288, -235.55011933999745, 1, 0, 0, 0, 0, 0, 0)","[array([-0.01745   ,  0.12684497]), <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.03846583, -0.00590149]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.07208649,  0.03963269]], dtype=float32)>, <tf.Tensor: shape=(1, 2), dtype=float32, numpy=array([[-0.01087797,  0.10530633]], dtype=float32)>]","[array([ 1.15948422, -1.13250742,  0.04184333, -0.13066902, -0.07222236,
       -0.24103227,  0.05236   ,  0.        ]), array([ 0.07526713,  0.0432574 , -1.63612078, -0.99376597, -0.37532035,
       -0.52105948, -0.03846583, -0.00590149]), array([-0.7160832 ,  0.55929303, -0.59897795, -1.52638097,  0.89789728,
        0.03106981, -0.07208649,  0.03963269])]",178.3721608788371,716.1600554951739,594.9198994636537,End
