path_id,initial_state,final_state,h_actions,h_path,h_cost,h_distance,h_time
11,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2267.2467158714785, -186.2983865678821, 1, 0, 0, 0, 0, 0, 0)","[(-0.05236, 0.0), (-0.03491, 0.0), (-0.05236, 0.0), (-0.08727, 0.19026745122925046)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (561.4139249225163, -64.9998882979332, 1.558153133019857, 0.1424741561285474, -0.030059796757202523, 0.0013609798321558627, -0.05236, 0, 60.0), (1236.1822595304309, -147.10113951761505, 1.760584331387687, 0.12036066647798513, -0.041200751104118374, -0.0005020316201423652, -0.03491, 0, 120.0), (1804.7580421686032, -195.15131529371556, 1.4655331507179599, 0.14493309228671175, 0.0216108492445546, -0.0005902061038566095, -0.05236, 0, 180.0), (2267.2049750187152, -186.3445464690645, 1.7320863138990723, 0.125213485981763, 0.30958047723352966, 0.030627052497903144, -0.08727, 0.19026745122925046, 5678.826607468485)]",5678.826607468485,0.014606196973012494,733.7915902137756
12,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(1953.5653508267078, -219.34018049591972, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.0), (-0.06981, 0.0), (-0.03491, 0.0), (-0.06981, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (671.5082271885556, -95.97125917870846, 1.6790257017535481, 0.12237678485287022, -0.024388067807622735, -0.0017741947486080952, -0.03491, 0, 60.0), (1170.4953841491918, -133.47993359651, 1.3063005307374977, 0.16454070944536955, 0.0031229293317317055, -0.00018642188466809386, -0.06981, 0, 120.0), (1843.817280986187, -221.3216481320053, 1.725180298352819, 0.12119630469576481, -0.03387642386553222, -0.0010466716434742846, -0.03491, 0, 180.0), (1953.5510078018572, -219.4552052481749, 1.0799307947188188, 0.17588252589871778, -0.02177682898236695, -0.007898946758383377, -0.06981, 0, 193.08649805755965)]",193.08649805755965,0.002750506505364395,625.412704706192
13,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2099.94026062817, -647.8130329345549, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0)]",60.0,23.65329327606278,99.35384106636047
14,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2186.573521911233, -416.3634282652902, 1, 0, 0, 0, 0, 0, 0)","[(-0.08727, 0.1585562093577087), (-0.0, 0.12684496748616697), (-0.01745, 0.0), (-0.05236, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (538.0867454671285, -12.73371881861552, 1.245720432145501, 0.18251150415991252, 0.5852655785513657, -0.024109300255904853, -0.08727, 0.1585562093577087, 3810.0), (655.2109621175695, -110.38312664706532, 3.8877366562043765, 0.04687878266567845, -1.046979777327868, -0.022197771911566362, -0.0, 0.12684496748616697, 4264.616665345278), (1650.4559945022197, -383.4348875995646, 2.533130012380216, 0.0861870480805499, -0.09222226726132517, 0.0007816003368586015, -0.01745, 0, 4324.616665345278), (2186.5596025654154, -415.9077794226431, 1.4986181278437394, 0.1435885832047098, 0.09512722621331364, 0.0003266201504063261, -0.05236, 0, 4379.731229683659)]",4379.731229683659,0.012525894930133601,269.42005443573
15,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2223.6242393341045, -298.1800452205484, 1, 0, 0, 0, 0, 0, 0)","[(-0.03491, 0.0), (-0.08727, 0.0), (-0.01745, 0.0), (-0.05236, 0.1585562093577087)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (671.5082271885556, -95.97125917870846, 1.6790257017535481, 0.12237678485287022, -0.024388067807622735, -0.0017741947486080952, -0.03491, 0, 60.0), (1134.336104914533, -128.48348175424567, 1.1736651916792011, 0.18160814175966683, 0.11155986268475156, -5.650777373175833e-05, -0.08727, 0, 120.0), (2004.7769461824955, -337.2409253216697, 2.5202947188099305, 0.08561692448062609, -0.1833517770948333, 0.00077168467372038, -0.01745, 0, 180.0), (2223.610851128682, -297.8307134205362, 1.2323652602368818, 0.02350317733577184, -0.18090985592803055, 0.01580623872779907, -0.05236, 0.1585562093577087, 1405.7971933719177)]",1405.7971933719177,0.00833259551677238,450.56312823295593
16,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2253.6159965711845, 108.2262418748029, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.1585562093577087), (-0.03491, 0.19026745122925046), (-0.05236, 0.12684496748616697), (-0.08727, 0.19026745122925046)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (593.8995794736228, -31.9662168937712, 2.512666340138712, 0.19803760106230234, 0.1632190228704248, -0.012479377088171553, -0.06981, 0.1585562093577087, 3810.0), (1452.4391200757825, 96.06644953542731, 2.4396730093652965, 0.1588156506072023, 0.08401435972093436, -0.03533575785610161, -0.03491, 0.19026745122925046, 10350.0), (2135.0105982313767, 106.2228269147941, 1.7254777206239982, 0.16068899837515693, 0.21372188610316709, -0.025128791290999018, -0.05236, 0.12684496748616697, 12330.0), (2253.6107988007648, 108.61881971760367, 1.587954474058269, 0.011902372445713832, -0.23249728794572136, 0.04166903118188328, -0.08727, 0.19026745122925046, 13993.907079996829)]",13993.907079996829,0.013564375277534176,305.54961800575256
17,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2002.934157145519, -108.90481605541444, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.10472, 0.0), (-0.05236, 0.1585562093577087), (-0.08727, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (925.1510208975315, -84.35662573594529, 1.0912467811135385, 0.19985367335515858, 0.07901664064099548, -0.0014612647945511914, -0.10472, 0, 120.0), (1587.1808380281352, -77.26821222518174, 1.8436718411717312, 0.16423458193413606, -0.3824079194007132, -0.02842775534802647, -0.05236, 0.1585562093577087, 3930.0), (2002.9044118296506, -109.080674016197, 1.2826443064467066, 0.17853216930112037, -0.03826453690431695, 0.0032509087324693793, -0.08727, 0, 3981.218584000634)]",3981.218584000634,0.00632136195838565,588.7267792224884
18,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2069.566384968555, -150.4456623276706, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.0), (-0.08727, 0.1585562093577087), (-0.08727, 0.0), (-0.08727, 0.0), (-0.06981, 0.12684496748616697)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (497.75280682810865, -49.725538360748125, 1.3046702752108372, 0.16434886474851018, 0.0688438748192099, -3.512977965317289e-05, -0.06981, 0, 60.0), (1035.9030003997505, -54.9727386956694, 1.3804368444419863, 0.1963414072963107, 0.21946498551060342, -0.02516888615780533, -0.08727, 0.1585562093577087, 3870.0), (1486.812587462124, -90.82198626665652, 1.1608580492695142, 0.1823365467072526, 0.09183309375605303, -0.0006316438932083653, -0.08727, 0, 3930.0), (1936.769879464615, -130.3545549486461, 1.1767178147681527, 0.18191575648493025, 0.06805689230121928, -0.0001652768593077989, -0.08727, 0, 3990.0), (2069.509890553131, -150.38475385863367, 1.9008253992305804, 0.2515387068348244, 0.13999882269789224, -0.029538981888376954, -0.06981, 0.12684496748616697, 4435.354792674225)]",4435.354792674225,0.016980744783164626,613.8693041801453
19,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2199.958161062372, -647.5805752447245, 1, 0, 0, 0, 0, 0, 0)","[(-0.01745, 0.0)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (874.5144151462928, -220.33154424258512, 2.544785282924183, 0.08537061359454402, -0.18356803095166938, 0.0009570234662291785, -0.01745, 0, 60.0)]",60.0,25.380203854470288,94.40973925590515
20,"(0, 0, 1, 0, 0, 0, -0.05236, 0, 0)","(2023.540585954998, 121.9351875230842, 1, 0, 0, 0, 0, 0, 0)","[(-0.06981, 0.12684496748616697), (-0.03491, 0.19026745122925046), (-0.03491, 0.1585562093577087)]","[(0, 0, 1, 0, 0, 0, -0.05236, 0, 0), (586.1911708525566, -39.831044807701716, 1.9485093186994917, 0.18004226753373806, 0.09881741812970195, -0.015749154926003532, -0.06981, 0.12684496748616697, 1980.0), (1465.2875405632947, 80.76627645510135, 2.082212861497634, 0.15453088294094544, 0.2987782955666687, -0.037012510569301105, -0.03491, 0.19026745122925046, 8520.0), (2023.5394427227463, 122.00827584678485, 1.9222856999581714, 0.23271653054592809, 0.07079018514865801, -0.04991264569409904, -0.03491, 0.1585562093577087, 11113.264885435661)]",11113.264885435661,0.017164927819892276,252.04384565353394
