id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
3,1,"[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812455641
3,2,"[11.340265584650075, -4.808308579295759, 9.458643202613153, 0.23948448844563003, -0.5979603954845759, -0.007738665851972252]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812455641
3,3,"[21.072353159630815, -9.838886606633467, 11.923622839326567, 0.47910996198299965, -0.26010697770327734, 0.0124236437395039]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812455641
3,4,"[32.569713663174724, -14.39418416208291, 13.071659927300889, 0.19281679155861695, -0.45012593631662823, -0.005323543614889928]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812455641
3,5,"[44.877744979840124, -15.75820266015874, 11.209460538900727, 0.5976001570963321, 0.3124058994730166, 0.01974481685450948]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812455641
3,6,"[52.426556090656995, -12.111717197810199, 5.4210340525931615, 0.5525606503908194, 0.655909558141902, -0.00021822449156843433]","[53.04666590815438, -11.15627190194964, 0, 0, 0, 0]",[],31.53455812455641
4,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812455641
4,1,"[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
4,2,"[12.372279371580719, -7.233444356472249, 11.197549274327457, 0.32787400882419043, -0.564533901982353, 0.002735608037242335]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
4,3,"[23.22822619002, -13.511724361467497, 13.559370944272544, 0.3349177053291896, -0.4204654156306958, 0.005765728648799595]","[48.214939490988144, -19.801490657199167, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812455641
