id_camino,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
0,0,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[0.0, 0.0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.10472, 0.19026745122925046]",6.306911624911282
0,1,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[0.45553746481870866, -0.06074786900259843, 1.550021339823756, 0.4357965945176725, 0.18202312282721775]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
0,2,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[0.7339446483261, -0.16148486541222237, 0.9095066959708322, 1.1578697467470453, 0.312550810983553]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
0,3,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[0.9334981268355196, -0.3360066320536103, 0.29127957379751784, 1.1306366495148514, 0.4843105813684708]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
0,4,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[0.9787641365356059, -0.3987290707005878, 0.0026579106179281595, 1.6016047718121649, 0.5471761545446489]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
0,5,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[1.1957315878336254, -0.8286483730397405, -0.3958487123958873, 3.2037939946636738, 0.6030239340138749]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
0,6,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[1.4000476976041896, -1.0558719261007827, 0.22922579186602227, 1.088794936450253, 0.5049888656453447]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
0,7,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[1.5177561897765426, -1.2253356541230367, 0.009762860812409357, 0.9773521367061982, 0.5178796883292526]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
0,8,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[1.6452760833326017, -1.5706721021710368, -0.38339970181106264, 2.701062232358517, 0.484724516583213]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
0,9,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[1.9478020526358184, -2.201509846339052, 2.826078012397109, 3.188383864899494, -0.15915364127600512]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.01745, 0.0]",6.306911624911282
0,10,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[2.4750448350619476, -3.034928661349455, 5.728936779741889, 0.18974529046045457, -1.0290849369882589]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
0,11,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[2.732167177271691, -3.5080054370993636, 6.435132166854981, 0.21722550136228927, -1.0471104402058184]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.08727, 0.0]",6.306911624911282
0,12,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[3.440366698407085, -4.752011810441268, 7.90792912898023, 0.6132287310139466, -0.9138098299019987]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
0,13,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[4.478032140005451, -6.105532212145955, 9.18002053379419, 0.592672566365016, -0.7844132133336013]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
0,14,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[5.892954932392141, -7.409593056826103, 10.089675624390779, 0.8679146039553531, -0.5391190817417824]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
0,15,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[7.685430755141086, -8.448757129094586, 10.667755945669404, 0.6910612409171389, -0.3771161217264224]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
0,16,"[0, 0, 2.6478791274453726, 0.4960256402952369, 0.1851831505706213, 0]","[9.711163972301403, -9.06857720768071, 10.646943543178306, 0.47903091727895425, -0.08408561799491504]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]","[-0.03491, 0.19026745122925046]",6.306911624911282
0,17,"[11.845294694098213, -9.168371593242178, 10.858678820780153, -0.10618098453373716, -0.030198738841176215]","[12.091181501214965, -9.17709711260178, 0, 0, 0, 0]",[],6.306911624911282
1,0,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[0.0, 0.0, 3.663505429908442, -1.238380324742234, -0.32597294984916814]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
1,1,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[0.7596163895587124, -0.2435629530403333, 4.315851653149126, 0.5532944264816699, -0.3155157664415123]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.05236, 0.0]",6.306911624911282
1,2,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[1.5934412512458205, -0.6792120659165817, 5.081694115401192, 0.6390427046541943, -0.37409976690954083]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.08727, 0.0]",6.306911624911282
1,3,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[2.557916839431769, -1.1982671022194096, 5.836006932927841, 0.721875007274387, -0.35064215621181943]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
1,4,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[3.6723451426966163, -1.7323882174866945, 6.502853296077824, 0.655645657593008, -0.32338048376052425]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.05236, 0.0]",6.306911624911282
1,5,"[0, 0, 3.663505429908442, -1.238380324742234, -0.32597294984916814, 0]","[4.920107880686293, -2.2659054450170437, 7.080018872896514, 0.5800314973308089, -0.30715355043863873]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
1,6,"[5.402044955017592, -2.4537285423902016, 7.171165636396615, 0.5477418958044444, -0.2631577143190067]","[5.404459945048516, -2.6970993678639763, 0, 0, 0, 0]",[],6.306911624911282
2,0,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[0.0, 0.0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.03491, 0.06342248374308349]",6.306911624911282
2,1,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[0.330478729958493, -0.06527034880180915, 1.2005756568529844, 1.0476667082228055, 0.281653019682995]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
2,2,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[0.5823368138318663, -0.23733944898079712, 0.9381744196326234, 1.1547574486580232, 0.168920092018083]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
2,3,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[0.7897535670570882, -0.446837949960835, 0.8249149525958819, 1.1974748910576247, 0.1365757947495215]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
2,4,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[0.9748938821738534, -0.6614244448448745, 0.6066370942316672, 1.2086579297435258, 0.23117248712365882]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.03171124187154174]",6.306911624911282
2,5,"[0, 0, 1.8441880650342495, 0.6364324100930964, 0.3323044178561275, 0]","[1.1285887661326057, -0.8575322331072776, 0.1642610425805752, 1.1006336702025223, 0.47928986990032313]","[15.093025331736655, -6.811531154046016, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
