id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
1,1,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[4.79506777490283, -1.4638811882184906, 6.2839991154031045, 0.5314843830004248, -0.32338538143675755, -0.00500913924473525]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
1,2,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[11.852004879140678, -5.110423044156692, 9.62727094830217, 0.35419982331464106, -0.47007904526144406, -0.00047299650075334796]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
1,3,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[21.174376842420656, -11.489136425719876, 13.056204884852908, 0.17082824604399832, -0.6642158169966357, -0.0045171563768658645]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
1,4,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[33.15051980838543, -19.248493318654738, 15.10366908929724, 0.3342948955301443, -0.4360958114876496, 0.007907525293798087]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
1,5,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[46.697042583641576, -26.818008248720368, 16.070982771802445, 0.15374587411468182, -0.5564297871135866, -0.0034123791532057225]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
1,6,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[61.37417922168516, -33.53271934788703, 15.933230174618435, 0.34598218220698457, -0.2643640988883802, 0.00862199205537339]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
1,7,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[75.99829613193212, -38.733519033454314, 15.408984914220826, 0.17123207709264301, -0.3972005272827147, -0.004154808192805611]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
1,8,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[90.27796058380474, -40.66869633299674, 13.085463971580454, 0.492793851804564, 0.18312352236474458, 0.015045696437251344]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
1,9,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[98.042503354365, -38.46554785788176, 9.575628836570706, 0.46333626044122866, 0.43718013615231943, 0.007191129786815371]","[98.04349982601175, -37.77935805593802, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
2,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
2,1,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
2,2,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[11.979867312536674, -8.052150652242632, 11.837087637947002, 0.17058715791727982, -0.77292302029129, -0.004711596121476739]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
2,3,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[23.23865560849336, -14.91922810114073, 13.975820497456985, 0.49576301739731354, -0.25219182012402674, 0.017129836699208065]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
2,4,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[36.363271979631776, -19.66595863066488, 14.213479525399412, 0.18227434271405815, -0.4112634881820345, -0.004748752701015654]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
2,5,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[49.339699128272756, -26.647068794168028, 15.406545104011387, 0.16004902885178676, -0.5455229840762691, -0.003746247769179117]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
2,6,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[63.53899698968765, -33.15846153996523, 15.546893517644696, 0.34480264233039876, -0.27463023351688104, 0.008137309607512595]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
2,7,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[78.03065504678086, -35.85202137254504, 13.802197795381746, 0.3513702058740746, -0.055158368851757754, 0.005535739614387433]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
2,8,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[90.6080831255769, -36.062602916869764, 11.36498270650961, 0.36224845054614313, 0.06230975976698563, 0.0018055987086160801]","[91.27292193884395, -36.85228362610397, 0, 0, 0, 0]","[-0.01745, 0.0]",31.53455812
3,0,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
3,1,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[4.745068697222255, -1.2437566999243914, 5.915146749566081, 0.6180499312841097, -0.22818002319939584, -0.00242293497127862]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812
3,2,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[11.015369477825, -2.020171817635536, 5.983671013210669, 0.8060629625492796, 0.2388731876059842, 0.012751666878222021]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.10472, 0.0]",31.53455812
3,3,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[16.412065589380138, -2.0409430167298277, 5.32079788587401, 0.5991683239517589, -0.05632448938783025, -0.010279773289997487]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.03491, 0.0]",31.53455812
3,4,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[22.003765644664437, -2.7515235803915625, 5.633712086140145, 0.7558433625309312, 0.08351112334239207, 0.00491556860976013]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,5,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[27.151031226538173, -2.603277583091161, 4.392239967346885, 0.8673729898279988, 0.2361631924834107, -0.0043845625301760045]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.10472, 0.0]",31.53455812
3,6,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[31.57390883519531, -3.1860286836315574, 4.890239070939223, 0.7794076092985014, -0.06575454659303179, -0.00168838184933693]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,7,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[36.96028329136238, -4.150038841121084, 5.741334842125749, 0.7545383252262172, 0.026529091753204212, 0.00555520206443854]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,8,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[42.690684810889316, -4.60044313137828, 5.633088640350176, 0.6974210560514817, 0.056245828078041786, 0.00045938853450957736]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812
3,9,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[48.09429028281318, -4.742446728301757, 4.98302738697341, 0.7714088098665859, 0.14846156413746647, 4.436029318740721e-05]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,10,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[52.97721867089406, -5.144923855050982, 5.005331966656152, 0.7242726052056275, -0.01645977327255736, -0.004389649841449891]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812
3,11,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[58.39446305673636, -6.124454292815792, 5.911214302055201, 0.6893078748670679, -0.048789984772955264, 0.0020888381326455156]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812
3,12,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[64.47161336146632, -6.809141193062535, 6.076999233124257, 0.6856715591852605, 0.054750117627309566, 0.0033377768487869467]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.06981, 0.0]",31.53455812
3,13,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[70.46168818405663, -7.284664966856716, 5.994292659854152, 0.6251090614551622, -0.007433517326537838, -0.001977679130448237]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.05236, 0.0]",31.53455812
3,14,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[76.27563235614222, -7.456277143643995, 5.30418166642343, 0.7583981500131179, 0.18510201451494881, 0.00286852456314402]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,15,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[81.61992921232675, -8.555133708075502, 6.508029899280596, 0.3834146677336652, -0.3735458830094916, -0.014104080646628485]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.0, 0.0]",31.53455812
3,16,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[88.76981643747739, -10.139394840542296, 7.375213919745774, 0.7487333471080506, 0.1502522411926837, 0.016671999699006866]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
3,17,"[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[94.65179843388981, -8.93933205529084, 4.329728159671964, 0.7616452277147374, 0.4173562460421782, -0.0030054401260902214]","[94.83943306960636, -8.007799076694585, 0, 0, 0, 0]","[-0.08727, 0.0]",31.53455812
